MWSC,Name,Type_n_Type,RAhour,RA,DEC,GLON,GLAT,r0,r1,r2,pmRA,pmDE,e_pm,RV,e_RV,o_RV,N1sr0,N1sr1,N1sr2,d,E(B-V),MOD,E(J-Ks),E(J-H),dH,logt,e_logt,Nt,rc,e_rc,rt,e_rt,k,e_k,Src,SType,[Fe/H],e_[Fe/H],o_[Fe/H]
2453,FSR_1692,ro,16.7539,251.30850791931152,-72.831,318.209,-17.345,0.01,0.07,0.115,-1.1,-7.76,1.06,999.99,99.99,0,2,24,65,1781.0,0.146,11.3,0.07,0.047,0.0,9.45,0.0,-1,0.54,0.19,8.11,3.29,6.66,2.35,FPOS,-,99.999,9.99,-
2454,Dol-Dzim_6,ro,16.7585,251.3774871826172,38.36,61.599,40.351,0.025,0.17,0.28,-2.19,-6.88,0.82,-46.1,25.27,5,1,11,25,946.0,0.062,9.9,0.03,0.02,0.0,9.45,0.0,-1,1.17,0.76,6.64,4.26,1.42,0.51,DIAS,rem,99.999,9.99,-
2467,ESO_137-43,ro,16.8069,252.10350036621094,-61.75,327.384,-10.729,0.01,0.06,0.09,0.42,-2.91,1.17,999.99,99.99,0,1,26,50,1659.0,0.312,11.2,0.15,0.1,0.01,8.9,0.0,-1,0.37,0.18,5.19,2.67,7.6,3.61,DIAS,non,99.999,9.99,-
2501,FSR_1763,ro,16.9845,254.76751327514648,-33.16,350.859,5.827,0.016,0.068,0.11,2.51,1.26,1.01,999.99,99.99,0,3,29,70,6605.0,0.312,14.2,0.15,0.1,-0.02,9.5,0.0,-1,2.8,0.83,20.24,5.55,0.41,0.1,FPOS,-,99.999,9.99,-
2522,FSR_0041,ro,17.0585,255.87750434875488,-8.838,11.749,19.211,0.012,0.085,0.16,-2.51,-1.55,0.51,999.99,99.99,0,3,24,81,4004.0,0.583,13.2,0.28,0.187,0.0,9.5,0.0,-1,2.74,1.13,19.4,8.3,0.49,0.11,FPOS,-,99.999,9.99,-
2529,ESO_043-13,ro,17.079,256.1850070953369,-74.35,317.731,-19.343,0.02,0.09,0.14,-1.75,-4.16,0.8,999.99,99.99,0,2,31,73,1490.0,0.104,10.899,0.05,0.033,0.0,9.315,0.044,2,0.61,0.3,7.05,3.87,4.26,1.64,DIAS,-,99.999,9.99,-
2548,FSR_0042,ro,17.235,258.52500915527344,-10.48,11.776,16.128,0.015,0.06,0.12,-3.35,-10.01,0.6,999.99,99.99,0,4,23,67,3320.0,0.604,12.8,0.29,0.193,-0.02,9.45,0.0,-1,2.23,0.66,11.17,3.05,1.43,0.27,FPOS,-,99.999,9.99,-
2597,Dol-Dzim_8,ro,17.433,261.49500846862793,24.183,47.008,28.857,0.02,0.095,0.165,-0.94,-5.81,0.63,999.99,99.99,0,3,12,31,2938.0,0.185,12.4,0.089,0.059,0.02,9.3,0.0,-1,1.06,0.76,13.77,11.2,0.76,0.47,DREM,ast,99.999,9.99,-
2609,FSR_0033,ro,17.496,262.4400043487549,-15.635,9.393,10.151,0.01,0.06,0.09,-0.95,-9.74,0.52,999.99,99.99,0,4,39,82,7893.0,0.354,14.6,0.17,0.113,-0.04,9.6,0.0,-1,1.59,0.53,23.86,8.76,0.86,0.29,FPOS,-,99.999,9.99,-
2652,FSR_0091,ro,17.6392,264.58800315856934,5.721,29.686,18.856,0.012,0.06,0.11,-3.36,-10.38,0.64,999.99,99.99,0,1,12,26,1660.0,0.0,11.101,0.0,0.0,0.0,9.45,0.0,-1,0.44,0.18,6.26,2.91,9.35,3.58,FPOS,-,99.999,9.99,-
2659,FSR_0050,ro,17.6645,264.9674892425537,-9.11,16.377,11.413,0.012,0.06,0.115,-4.1,-2.0,0.46,999.99,99.99,0,4,25,55,1764.0,0.833,11.5,0.4,0.267,0.0,9.5,0.0,-1,0.38,0.11,6.89,2.28,19.82,6.3,FPOS,-,99.999,9.99,-
2733,NGC_6481,ro,17.88,268.199987411499,4.167,29.937,14.943,0.018,0.065,0.125,-0.6,-5.02,0.64,999.99,99.99,0,3,18,41,1836.0,0.25,11.4,0.12,0.08,0.0,9.56,0.0,1,2.62,0.53,5.95,0.74,12.02,3.51,DIAS,rem,99.999,9.99,-
2750,FSR_1775,ro,17.9355,269.0324878692627,-36.565,354.546,-5.779,0.018,0.06,0.1,-9.53,-1.0,0.91,999.99,99.99,0,6,47,104,8508.0,0.468,14.8,0.225,0.15,0.0,9.6,0.0,-1,6.34,0.63,24.99,2.06,1.68,0.13,FPOS,-,99.999,9.99,-
2767,ESO_229-02,ro,17.9945,269.91748809814453,-51.695,341.346,-13.543,0.025,0.085,0.14,0.67,-9.28,0.84,999.99,99.99,0,4,33,91,2362.0,0.104,11.9,0.05,0.033,-0.03,9.7,0.0,-1,1.75,0.48,10.81,2.85,1.47,0.29,DIAS,-,99.999,9.99,-
2784,NGC_6525,ro,18.0345,270.5175018310547,11.017,37.365,15.9,0.018,0.09,0.16,-1.59,-4.48,0.44,999.99,99.99,0,2,24,61,3221.0,0.187,12.6,0.09,0.06,0.0,9.45,0.0,-1,4.27,0.84,15.45,2.42,0.92,0.15,DIAS,non,99.999,9.99,-
2787,FSR_0117,ro,18.0389,270.58350563049316,16.774,42.873,18.231,0.012,0.075,0.12,1.07,-3.83,0.47,999.99,99.99,0,2,15,36,1724.0,0.208,11.25,0.1,0.067,-0.005,9.32,0.0,-1,0.81,0.23,8.13,2.55,6.94,1.4,FPOS,-,99.999,9.99,-
2817,FSR_1774,ro,18.1455,272.18250274658203,-37.94,354.547,-8.639,0.01,0.085,0.13,2.72,-0.99,1.17,999.99,99.99,0,1,18,36,1935.0,0.208,11.5,0.1,0.067,0.035,9.0,0.0,-1,0.65,0.23,9.59,3.81,5.86,1.91,FPOS,-,99.999,9.99,-
2818,Dol-Dzim_9,ro,18.1465,272.19749450683594,31.555,58.118,22.271,0.015,0.1,0.145,1.72,-6.09,0.49,999.99,99.99,0,2,20,36,2626.0,0.167,12.15,0.08,0.053,0.0,9.39,0.0,-1,1.97,0.79,10.95,4.16,0.99,0.24,DIAS,-,99.999,9.99,-
2862,ESO_335-05,ro,18.27,274.0500068664551,-41.05,352.399,-11.336,0.01,0.06,0.09,-3.02,-6.96,0.85,999.99,99.99,0,2,30,69,7562.0,0.021,14.4,0.01,0.007,0.0,9.2,0.0,-1,3.18,0.73,31.74,8.01,0.51,0.09,DIAS,dub,99.999,9.99,-
2881,FSR_0145,ro,18.3058,274.58699226379395,29.11,56.413,19.498,0.035,0.165,0.305,-1.57,-3.95,0.39,999.99,99.99,0,4,48,126,1607.0,0.25,11.11,0.12,0.08,0.0,9.185,0.08,3,1.46,0.56,11.1,4.42,1.86,0.47,FPOS,-,99.999,9.99,-
2882,NGC_6605,ro,18.307,274.60498809814453,-14.965,15.885,0.332,0.02,0.105,0.185,3.4,-1.17,0.52,999.99,99.99,0,2,18,51,1144.0,0.645,10.5,0.31,0.207,0.0,8.8,0.0,-1,0.27,0.57,5.83,12.71,0.92,2.5,DREM,ast,99.999,9.99,-
2895,NGC_6588,ro,18.342,275.1299858093262,-63.81,330.837,-20.87,0.02,0.09,0.14,0.28,-3.18,1.02,999.99,99.99,0,4,29,68,4757.0,0.042,13.4,0.02,0.013,0.0,9.4,0.0,-1,9.02,5.77,22.71,9.51,0.12,0.1,DIAS,-,99.999,9.99,-
2904,FSR_0120,ro,18.3845,275.7675075531006,15.85,44.122,13.316,0.025,0.105,0.15,-0.39,-6.17,0.32,999.99,99.99,0,5,64,108,1786.0,0.437,11.4,0.21,0.14,0.025,9.23,0.0,-1,1.07,0.48,9.85,4.72,2.16,0.61,FPOS,-,99.999,9.99,-
2939,NGC_6647,ro,18.5245,277.86749839782715,-17.34,15.246,-3.547,0.012,0.06,0.11,2.6,-7.43,0.52,999.99,99.99,0,3,43,136,5246.0,0.625,13.8,0.3,0.2,0.0,9.25,0.0,-1,5.34,1.41,20.97,4.69,0.42,0.08,DREM,ast,99.999,9.99,-
2944,Ruprecht_171,ro,18.535,278.02499771118164,-16.01,16.499,-3.07,0.012,0.06,0.1,5.34,-1.7,0.79,999.99,99.99,0,2,24,66,1159.0,0.25,10.401,0.12,0.08,0.0,9.55,0.0,-1,1.08,0.13,3.4,0.28,36.21,3.95,DIAS,-,99.999,9.99,-
3015,FSR_1773,ro,18.8872,283.30799102783203,-42.125,354.221,-18.114,0.018,0.085,0.135,0.76,-0.83,0.9,999.99,99.99,0,3,28,66,1312.0,0.344,10.7,0.165,0.11,0.0,9.2,0.0,-1,0.58,0.18,6.54,2.16,10.41,2.55,FPOS,-,99.999,9.99,-
3071,ESO_282-26,ro,19.229,288.435001373291,-42.63,355.022,-21.86,0.025,0.13,0.195,1.17,0.43,0.65,999.99,99.99,0,3,59,136,1509.0,0.333,11.001,0.16,0.107,0.0,9.235,0.0,-1,0.82,0.43,8.47,4.88,2.03,0.85,DIAS,rem,99.999,9.99,-
3080,ESO_231-30,ro,19.284,289.26000595092773,-51.48,345.886,-24.737,0.018,0.115,0.165,2.47,-5.3,0.92,999.99,99.99,0,2,35,65,3276.0,0.073,12.6,0.035,0.023,0.0,9.5,0.0,-1,1.94,0.68,16.69,6.04,0.64,0.18,DIAS,-,99.999,9.99,-
3112,FSR_0134,ro,19.408,291.1200141906738,16.895,51.672,0.587,0.01,0.053,0.093,0.49,-6.56,0.42,999.99,99.99,0,2,57,135,2478.0,1.645,12.5,0.79,0.527,0.0,7.0,0.0,-1,0.56,0.2,9.0,3.35,3.89,1.58,DIAS,irc,99.999,9.99,-
3119,FSR_0110,ro,19.4298,291.44700050354004,2.005,38.658,-6.706,0.015,0.08,0.125,-0.03,-6.67,0.43,999.99,99.99,0,4,45,80,1361.0,0.25,10.75,0.12,0.08,0.0,9.225,0.0,-1,0.63,0.21,3.87,1.24,11.08,2.61,FPOS,-,99.999,9.99,-
3142,FSR_0193,ro,19.6081,294.1215133666992,37.694,71.308,8.124,0.01,0.052,0.09,-1.28,-3.37,0.46,999.99,99.99,0,1,25,40,2076.0,0.354,11.7,0.17,0.113,0.02,8.99,0.047,5,0.68,0.19,6.22,1.7,6.43,1.63,FPOS,-,99.999,9.99,-
